demure,demurely
lightheartedly,lightheartedly
generic,generically
dogged,doggedly
oily,oillily
silly,sillily
corrupt,corruptly
unequal,unequally
unsuitable,unsuitably
hopeless,hopelessly
recent,recently
yummy,yummily
evolutionary,evolutionarily
long,long
stark,starkly
impossible,impossibly
airy,airily
frantic,frantically
excitable,excitablely
inconsistent,inconsistently
personally,personally
mysterious,mysteriously
harmonious,harmoniously
purposeful,purposefully
unfaithful,unfaithfully
premature,prematurely
dismal,dismally
tacky,tackily
sleepless,sleeplessly
traditional,traditionally
accept,acceptably
vivacious,vivaciously
insignificant,insignificantly
bankrupt,bankruptly
directional,directionally
local,locally
circumspect,circumspectly
clear,clearly
wry,wryly
limp,limply
capricious,capriciously
comic,comically
mimetic,mimetically
electrical,electrically
typical,typically
unwitting,unwittingly
unwise,unwisely
sarcastic,sarcastically
accidental,accidentally
certain,certainly
unknowable,unknowably
indecisive,indecisively
influential,influentially
old,oldly
cheerful,cheerfully
xeric,xerically
independent,independently
luxurious,luxuriously
subconscious,subconsciously
inventive,inventively
eloquent,eloquently
civic,civically
normal,normally
yestern,yesternly
alluring,alluringly
gracious,graciously
extravagant,extravagantly
relevant,relevantly
miserable,miserably
central,centrally
rigid,rigidly
mad,madly
inhumanely,inhumanely
monotonous,monotonously
joyful,joyfully
sinuous,sinuously
vertical,vertically
exceptional,exceptionally
fortunate,fortunately
admirable,admirably
incisive,incisively
initial,initially
murky,murkily
thematic,thematically
common,commonly
messy,messily
knowledgeable,knowledgeably
intrinsic,intrinsically
fraudulently,fraudulently
jaunty,jauntily
cacophonous,cacophonously
harmful,harmfully
various,variously
fickle,fickly
dependently,dependently
frequent,frequently
ardent,ardently
zippy,zippily
problematic,problematically
solemnly,solemnly
private,privately
honest,honestly
erupt,eruptively
empty,emptily
cozy,cozily
talkative,talkatively
haughty,haughtily
luminous,luminously
just,justly
geological,geologically
gloomy,gloomily
deliberate,deliberately
dreadful,dreadfully
arid,aridly
perpendicular,perpendicularly
symbolic,symbolically
impassable,impassably
figurative,figuratively
evil,evilly
autistic,autistically
shrewd,shrewdly
grim,grimly
fair,fairly
stout,stoutly
visible,visibly
disrupt,disruptively
exact,exactly
decisive,decisively
bright,brightly
applicable,applicably
accessible,accessibly
laconic,laconically
sweet,sweetly
pragmatic,pragmatically
careless,carelessly
extrinsically,extrinsically
synthetic,synthetically
adverse,adversely
adjacent,adjacently
biological,biologically
immutable,immutably
deceitful,deceitfully
agitated,agitatedly
coy,coyly
factual,factually
stingy,stingily
superficial,superficially
faithful,faithfully
skeptical,skeptically
discordant,discordantly
sketchy,sketchily
maximum,maximally
studious,studiously
separate,separately
material,materially
horrible,horribly
past,pastly
disobedient,disobediently
hesitantly,hesitantly
ritzy,ritzily
pitiful,pitifully
linguistic,linguistically
sudden,suddenly
zesty,zestily
statistic,statistically
lofty,loftily
supreme,supremely
valid,validly
psychological,psychologically
durable,durably
acceptable,acceptably
undesirable,undesirably
imprecise,imprecisely
inaccurate,inaccurately
optical,optically
repulsive,repulsively
smart,smartly
ancient,anciently
conventional,conventionally
agile,agilely
ubiquitous,ubiquitously
conservative,conservatively
turbulent,turbulently
unreliable,unreliably
major,majorly
elastic,elastically
awry,awryly
dirty,dirtily
intuitively,intuitively
dishonest,dishonestly
international,internationally
confidential,confidentially
numb,numbly
peaceful,peacefully
imperfect,imperfectly
jovial,jovially
circular,circularly
ultimate,ultimately
flamboyant,flamboyantly
reluctant,reluctantly
corporate,corporately
naive,naively
volcanic,volcanically
curable,curably
subjective,subjectively
due,duly
meager,meagerly
dire,direly
pleasantly,pleasantly
unacceptable,unacceptably
distracted,distractedly
athletic,athletically
strange,strangely
modestly,modestly
irregular,irregularly
fake,falsely
sultry,sultrily
eligibly,eligibly
sleek,sleekly
invaluable,invaluably
unique,uniquely
momentous,momentously
palpable,palpably
infinite,infinitely
hidden,hiddenly
atrocious,atrociously
advantageous,advantageously
financial,financially
periodic,periodically
earnest,earnestly
plausible,plausibly
easy,easily
arduous,arduously
universal,universally
inhospitable,inhospitably
artificial,artificially
optimistic,optimistically
responsible,responsibly
correct,correctly
fluent,fluently
altruistic,altruistically
ungrateful,ungratefully
fanciful,fancifully
curious,curiously
extreme,extremely
ungregarious,ungregariously
selfish,selfishly
particular,particularly
identical,identically
essential,essentially
transparent,transparently
succinct,succinctly
smooth,smoothly
sure,surely
holistic,holistically
tainted,taintedly
enviable,enviably
occasional,occasionally
boisterous,boisterously
magic,magically
patriotic,patriotically
technical,technically
grievous,grievously
small,smallly
outrageous,outrageously
disloyal,disloyally
attentive,attentively
attainable,attainably
successful,successfully
cowardly,cowardlily
unreasonable,unreasonably
innocent,innocently
aimless,aimlessly
horizontal,horizontally
introverted,introvertedly
brutal,brutally
robust,robustly
carious,cariously
constant,constantly
sloppy,sloppily
psychic,psychically
safe,safely
lawful,lawfully
solid,solidly
grave,gravely
tragic,tragically
smug,smugly
fond,fondly
rational,rationally
subsequent,subsequently
presumptuous,presumptuously
noticeable,noticeably
stealth,stealthily
powerlessly,powerlessly
wasteful,wastefully
dizzy,dizzily
gullible,gullibly
inconvenient,inconveniently
inadequate,inadequately
fundamental,fundamentally
solemn,solemnly
probable,probably
rude,rudely
terrible,terribly
unsustainable,unsustainably
halcyon,halcyonely
joking,jokingly
fun,funnily
wrong,wrongly
angry,angrily
literary,literarily
capable,capably
conditional,conditionally
surly,surly
sluggish,sluggishly
daily,daily
serious,seriously
unhealthy,unhealthily
scrupulous,scrupulously
near,near
contemptuous,contemptuously
concise,concisely
taut,tautly
astute,astutely
vital,vitally
benevolent,benevolently
knowing,knowingly
impractical,impractically
reversible,reversibly
mathematical,mathematically
sensitive,sensitively
wanton,wantonly
jolly,jollily
gruesome,gruesomely
understandable,understandably
facile,facilely
analytically,analytically
apathetic,apathetically
competent,competently
rarely,rarely
wet,wetly
peripheral,peripherally
friendly,friendly
eerie,eerily
tenable,tenably
shrill,shrilly
considerable,considerably
glib,glibly
immoral,immorally
innovative,innovatively
unquestionable,unquestionably
awful,awfully
hungry,hungrily
impatient,impatiently
defiled,defiledly
gaunt,gauntly
narcissistic,narcissistically
treacherous,treacherously
volatile,volatilly
isolated,isolatedly
forcible,forcibly
lackadaisical,lackadaisically
generous,generously
improper,improperly
fragile,fragilely
malevolent,malevolently
irrational,irrationally
ill,illy
slack,slackly
lovely,lovingly
crisp,crisply
unproductive,unproductively
steady,steadily
affordable,affordably
snide,snidely
legible,legibly
bland,blandly
liberal,liberally
hasty,hastily
defiant,defiantly
mundane,mundanely
mere,merely
intentional,intentionally
idle,idly
industrial,industrially
tenacious,tenaciously
needy,needily
spiteful,spitefully
delightful,delightfully
questionable,questionably
economic,economically
judicial,judicially
idealistic,idealistically
academic,academically
congruent,congruently
opaque,opaquely
seasonable,seasonably
chronic,chronically
toxic,toxically
moderate,moderately
halting,haltingly
grimace,grimacely
analytical,analytically
complex,complexly
blank,blankly
military,militarily
vague,vaguely
annual,annually
diligently,diligently
unfriendly,unfriendly
regional,regionally
imaginary,imaginarily
optional,optionally
imperfectly,imperfectly
revolutionary,revolutionarily
insightful,insightfully
candid,candidly
tropical,tropically
blunt,bluntly
secret,secretly
partial,partially
explicit,explicitly
vengeful,vengefully
political,politically
fragrant,fragrantly
infrequently,infrequently
vulgar,vulgarly
unenviable,unenviably
confident,confidently
flat,flatly
quiet,quietly
kind,kindly
lively,livelily
biased,biasedly
precise,precisely
provincial,provincially
awake,awakenly
inevitable,inevitably
morose,morosely
timid,timidly
appropriate,appropriately
hesitant,hesitantly
unsteady,unsteadily
cowardly,cowardly
idyllic,idyllically
fluid,fluidly
diligent,diligently
separately,separately
global,globally
accurate,accurately
optimal,optimally
relative,relatively
unjust,unjustly
ignoble,ignobly
colossal,colossally
irrelevant,irrelevantly
dramatic,dramatically
irate,irately
productive,productively
exotic,exotically
brisk,briskly
mature,maturely
crafty,craftily
significant,significantly
bumpy,bumpily
unusable,unusably
parallel,parallelly
excitable,excitably
maximal,maximally
suspicious,suspiciously
avoidable,avoidably
pert,pertly
negative,negatively
abnormal,abnormally
unevident,unevidently
contemporary,contemporarily
uncritical,uncritically
nihilistic,nihilistically
oceanic,oceanically
federal,federally
demonstrable,demonstrably
imitable,imitably
alert,alertly
sacrilegious,sacrilegiously
basic,basically
supercilious,superciliously
lamentable,lamentably
terrific,terrifically
combative,combatively
instant,instantly
sole,solely
preliminary,preliminarily
soft,softly
inferior,inferiorly
sincere,sincerely
ecological,ecologically
repressible,repressibly
yielding,yieldingly
stiff,stiffly
precocious,precociously
painful,painfully
hazardous,hazardously
coherent,coherently
autocratic,autocratically
reckless,recklessly
likable,likably
urgent,urgently
edible,edibly
active,actively
tame,tamely
obedient,obediently
tempestuous,tempestuously
animate,animatedly
damp,damply
melodic,melodically
egotistic,egotistically
indirect,indirectly
gleeful,gleefully
gregarious,gregariously
tearful,tearfully
extroverted,extrovertedly
lame,lamely
ornate,ornately
inapplicable,inapplicably
lenient,leniently
amateur,amateurly
catastrophic,catastrophically
bogus,boguely
distant,distantly
melodious,melodiously
rhythmic,rhythmically
guarded,guardedly
insubstantial,insubstantially
healthy,healthily
sustainable,sustainably
rare,rarely
excited,excitedly
