yeasty,yeastiness
deceptive,illusion
hesitant,hesitation
virtual,reality
massive,massivity
sudden,suddenness
spontaneous,spontaneity
somnolent,somnolence
comical,humor
redundant,redundancy
obsolete,obsolescence
kind,kindness
rapacious,rapacity
cowardly,cowardice
primitive,primitivism
well,being
progressive,progression
barren,sterility
adjacent,proximity
resonant,resonance
scrupulous,scrupulousness
chaotic,chaos
colossal,magnitude
careful,caution
radiant,joy
epic,epics
united,unity
asynchronous,asynchronicity
torpid,torpidity
demure,demureness
tense,tension
petty,grievance
decent,decency
magnificent,magnificence
clean,purity
conscious,consciousness
majestic,majesty
jaded,jadedness
capacious,capacity
wise,wisdom
intrepid,courage
livid,lividity
tough,toughness
false,falseness
vague,recollection
energetic,energy
astonishing,astonishment
saccharine,saccharinity
idle,idleness
voluntary,voluntariness
cogent,cogency
inconsistent,inconsistency
mature,maturity
appropriate,appropriateness
formative,formation
savage,savagery
worn,shoes
exuberant,exuberance
fake,sham
sweet,nectar
jolly,jolliness
fallacious,fallacy
lush,lushness
organic,organism
romantic,romance
terse,conciseness
mellifluous,melody
xenial,xenia
artificial,artificiality
glib,glibness
munificent,munificence
compassionate,compassion
bright,light
frivolous,frivolity
wan,wanness
identical,identity
confident,confidence
weak,fragility
contumacious,contumacy
pathetic,pathos
dependent,dependence
mawkish,mawkism
external,exteriority
pleasant,pleasantness
inefficient,inefficiency
witty,wit
attentive,attention
ambiguous,ambiguity
pitiful,pity
attractive,attraction
fragrant,memory
known,knowledge
harmonious,harmony
immoral,immorality
peaceful,peace
common,sense
tenacious,tenacity
optimal,optimality
assertive,assertiveness
fast,velocity
active,activity
suitable,suitability
candid,honesty
delicate,matter
remote,remoteness
static,stasis
insensible,insensibility
frequent,frequency
aware,awareness
desolate,desolation
decorative,decoration
sufficient,sufficiency
fiery,temper
hot,debate
incredible,incredibility
burning,question
dizzy,dizziness
lenient,leniency
vocal,vocality
gregarious,conviviality
safe,safety
melodic,melody
inaccurate,inaccuracy
futile,futility
dirty,dirt
homogenous,homogeneity
infertile,infertility
thick,thickness
fundamental,fundamentalness
clean,cleanness
xenial,xeniality
limpid,limpidity
secure,security
broad,breadth
corrosive,corrosion
sluggish,sluggishness
ample,ampleness
apt,analogy
vicious,vice
adaptable,adaptability
sentient,awareness
poor,excuse
dynamic,dynamism
invisible,invisibility
jaunty,jauntiness
loathsome,loathsomeness
radical,extremism
instant,instance
urgent,plea
dead,silence
clean,break
vivid,impression
literal,literalness
pale,paleness
familiar,familiarity
secular,secularity
ancient,antiquity
trusting,trust
dogmatic,dogmatism
decadent,decadence
sorry,sorrow
variable,variability
diffident,diffidence
native,tongue
random,randomness
ubiquitous,omnipresence
haughty,haughtiness
blithesome,cheerfulness
superficial,superficiality
careful,care
arduous,arduousness
tidy,home
insipid,insipidity
prudent,prudence
spacious,space
thin,thinness
constant,constancy
various,variety
precarious,precariousness
elusive,mystery
full,abundance
modern,modernity
brutal,brutality
capricious,caprice
subordinate,subordination
synthetic,synthesis
cordial,cordiality
narcissistic,narcissism
illegible,illegibility
sanguine,sanguinity
similar,similarity
irrelevant,irrelevance
obscure,obscurity
public,publicity
sad,sorrow
infectious,infection
rabid,rabidity
excessive,excessiveness
cold,shoulder
empty,emptiness
visible,visibility
happy,happiness
rich,riches
despondent,despondency
long,delay
jeopardous,jeopardy
mimic,mimicry
cold,glacier
icy,glare
transient,passage
artificial,artifice
wealthy,wealth
clever,cleverness
sick,leave
verdant,greenery
inclusive,inclusion
solemn,dignity
credulous,credulity
scant,scantiness
intellectual,intellect
fast,speed
specific,specificity
uproarious,uproar
dynamic,dynamics
harsh,harshness
noble,nobility
fervent,fervor
verbose,verbosity
devious,treachery
rancid,foulness
dull,tedium
instant,noodle
awake,awakeness
neat,neatness
mundane,mundaneness
ravenous,rapacity
wrong,wrongness
glamorous,glamour
zany,zaniness
tangential,tangent
superior,superiority
worthless,worthlessness
hampered,impediment
quirky,quirk
vague,vagueness
cold,chill
unaware,oblivion
slow,pace
wary,wariness
scandalous,scandal
