serene,agitated
Fast,Slow
Cooperative,Uncooperative
brave,fearful
Competent,Incompetent
Take,Give
Light,Dark
appear,disappear
Beneficial,Detrimental
Planned,Unplanned
Inflate,Deflate
Friend,Enemy
confirm,deny
harmonious,discordant
Construct,Demolish
freedom,captivity
entry,exit
Likely,Unlikely
orthodox,unorthodox
useful,useless
Definite,Indefinite
Fixed,Unfixed
Generous,Stingy
clouded,unclouded
higher,lower
Relevant,Irrelevant
Include,Exclude
stable,unstable
support,opposition
Soluble,Insoluble
Fit,Unfit
Peaceful,Violent
thick,thin
considerate,inconsiderate
fasten,unfasten
understanding,misunderstanding
Hinged,Unhinged
Build,Demolish
appealing,unappealing
awake,asleep
Vulnerable,Resistant
Modern,Ancient
Embrace,Reject
Faith,Doubt
courage,cowardice
Beginning,End
direct,misdirect
Load,Unload
Happy,Miserable
Whole,Partial
courageous,cowardly
Warm,Cold
Health,Sickness
Tie,Untie
durable,fragile
driven,indolent
authentic,counterfeit
tamed,untamed
Satisfied,Dissatisfied
Religious,Irreligious
Heal,Injure
external,internal
Expand,Shrink
Ease,Difficulty
Exact,Inexact
comfort,misery
Filtered,Unfiltered
justice,injustice
Support,Oppose
Suited,Unsuited
fold,unfold
assuredly,uncertainly
Typical,Atypical
Diplomatic,Tactless
expand,contract
Life,Death
equal,unequal
Bright,Dark
Vivid,Dull
Manageable,Unmanageable
Abundant,Scarce
Close,Distant
Illuminate,Darken
loyalty,betrayal
safe,dangerous
Enjoy,Detest
Secure,Insecure
Open,Closed
Before,After
Cover,Uncover
Obey,Defy
aware,unaware
Confidence,Doubt
reserved,unreserved
Prepared,Unprepared
opening,closure
Full,Empty
stable,fluctuating
active,inactive
Audible,Inaudible
Prosper,Decline
varying,unvarying
Unique,Common
Rest,Unrest
Welcome,Unwelcome
flourishing,withering
profitable,unprofitable
indeed,not really
important,unimportant
improvement,worsening
Productive,Wasteful
Quick,Lingering
health,sickness
Tolerance,Intolerance
Inclusion,Exclusion
steadfast,wavering
Flexible,Inflexible
Allow,Prohibit
Right,Wrong
Paid,Unpaid
Healthy,Sick
Spoken,Unspoken
inclusion,omission
Whole,Part
Treated,Untreated
fortified,undermined
assistance,hindrance
consistent,inconsistent
Variable,Invariable
Expensive,Cheap
Success,Failure
bright,dark
Graceful,Awkward
Funded,Defunded
Senior,Junior
Inspire,Discourage
day,night
creative,uninspired
mask,unmask
Balanced,Unbalanced
Justice,Injustice
Major,Minor
Proven,Unproven
significant,insignificant
expansion,contraction
normal,abnormal
abundant,scarce
failing,unfailing
Pleasant,Unpleasant
Advantage,Disadvantage
productive,unproductive
feeling,unfeeling
moral,immoral
Credible,Incredible
correct,incorrect
Expand,Contract
Believable,Unbelievable
