oversleep,overslept
strive,striven
rid,ridden
slip,slipped
waste,wasted
make,made
quicken,quickened
brainwash,brainwashed
repay,repaid
put,put
darn,darned
forget,forgotten
keep,kept
underlie,underlain
sink,sunk
wax,waxed
demolish,demolished
weave,woven
spin,spun
outdo,outdone
arise,arisen
arouse,aroused
enhance,enhanced
overdraw,overdrawn
overlay,overlaid
forsake,forsaken
misspell,misspelled
rive,riven
smell,smelled
beget,begotten
dream,dreamt
rely,relied
try,tried
feel,felt
saw,sawed
emphasize,emphasized
wring,wrung
clone,cloned
snatch,snatched
carouse,caroused
mute,muted
careen,careened
travel,traveled
vary,varied
widen,widened
threaten,threatened
manage,managed
imagine,imagined
arrange,arranged
forbid,forbidden
use,used
close,closed
retrofit,retrofit
rid,rid
hold,held
undertake,undertaken
quit,quit
awake,awakened
choose,chosen
date,dated
deal,dealt
override,overridden
ski,skied
crow,crowed
mow,mowed
decorate,decorated
swear,sworn
geld,gelt
relight,relit
rewrite,rewritten
shape,shaped
slit,slit
chastise,chastised
see,seen
deafen,deafened
ripen,ripened
hurt,hurt
fly,flown
wreathe,wreathed
shred,shredded
bet,bet
sew,sewn
cute,cuted
discharge,discharged
tell,told
sleep,slept
overlay,overlain
sketch,sketched
remake,remade
adore,adored
ring,rung
chide,chidden
appreciate,appreciated
unify,unified
assure,assured
eat,eaten
notify,notified
backslide,backslid
enchant,enchanted
stand,stood
obey,obeyed
foresee,foreseen
oppose,opposed
hew,hewn
swoon,swooned
relay,relaid
shun,shunned
bleed,bled
dive,dived
smite,smitten
overpay,overpaid
pay,paid
meet,met
lay,lain
bypass,bypassed
whet,whetted
bring,brought
light,lit
crow,crown
spend,spent
activate,activated
grave,graven
strengthen,strengthened
rewind,rewound
hasten,hastened
debug,debugged
incite,incited
assail,assailed
create,created
outgrow,outgrown
melt,melted
clothe,clothed
love,loved
relate,related
hit,hit
earn,earned
be,been
dance,danced
encourage,encouraged
resell,resold
derive,derived
cry,cried
say,said
explore,explored
modify,modified
embody,embodied
let,let
strew,strewn
melt,molten
encounter,encountered
rebuild,rebuilt
wait,waited
bite,bitten
shrink,shrunk
forgive,forgiven
entail,entailed
encompass,encompassed
drag,dragged
study,studied
include,included
spit,spit
slide,slid
annoy,annoyed
atone,atoned
find,found
believe,believed
sting,stung
hang,hung
shake,shaken
drive,driven
indicate,indicated
recapture,recaptured
dispatch,dispatched
hear,heard
steal,stolen
finish,finished
take,taken
play,played
weaken,weakened
do,done
reave,reft
phone,phoned
sneak,sneaked
overeat,overeaten
split,split
sew,sewed
endorse,endorsed
wed,wedded
write,written
shape,shapen
unwind,unwound
decamp,decamped
cure,cured
telecast,telecast
leap,leapt
spotlight,spotlit
redo,redone
avail,availed
shear,shorn
blow,blown
uphold,upheld
shoot,shot
withstand,withstood
plan,planned
buy,bought
hang,hanged
