94,ninety-fourth
fifty,fiftieth
144,one hundred forty-fourth
51,fifty first
first taste,one taste
trillion,trillionth
item,itemth
venture 99,ninety-ninth venturing
third,tertiary
76,76th
62,62nd
try 73,seventy-third tried
final two,second
car seven,car seventh
billion,billionth
800,eight hundredth
last time,many times
tens,tenth place
three,the third
eleven,undenary
791,seven hundred ninety-first
five hundred,five hundredth
twenty four,twenty fourth
one point zero,first point zero
110,one hundred tenth
18,18th
14,14th
threefold,third time
two,bi-
84,84th
seventeen,state-of-the-art
hour 25,twenty-fifth hourly
one-third,one-thirdded
issue 31,thirty-first issued
round 92,ninety-second rounded
umpteen,umpteenth
one half,second
four,ante-penultimate
twenty-eight,twenty-eighth
two and a half,two and a halfth
Six,sexto
Seven hundred,Seven hundredth
five,pawn
two,coupé
ten,peak
item one,first item
one point one,one and one tenth
time 55,fifty-fifth timed
one million two,one million second
30,thirtieth
74,seventy-fourth
billion,pinnacle
twelve,ultimate
book one,first book
one off,first off
II,second roman numeral
Nonillion,ninth
One quarter,one quarterth
ten items,tenth item
Ten million,Ten millionth
four,the fourth
thirty-two,amazing
chapter 46,forty-sixth chaperoned
1812,one thousand eight hundred twelfth
score,twentieth
twenty five,twenty fifth
699,Six hundred and ninety ninth
Eight,octavo
5280,five thousand two hundred eightieth
zeroth,zero
sixteen,arranged order
40,fortieth
two hundred fifty,two hundred fiftieth
38,thirty-eighth
round 56,fifty-sixth rounded
previous,previousth
131,one hundred and thirty-first
four levels,fourth level
two,directly afterwards
two thousand and twenty-four,two thousand and twenty-fourth
thirty-three,thirty-third
point three,point third
one hundred two,one hundred second
one trillion,one trillionth
five,matchless
26,twenty-sixth
sixteen,sixteenth
sixty,sixtieth
one,most important
100000,one hundred thousandth
400,four hundredth
55,fifty-fifth
nineteen ninety four,nineteen ninety fourth
III,third roman numeral
Three hundred seven,Three hundred Seventh
level two,second level
dozenth,twelfth
8444,eight thousand four hundred and forty fourth
84,eighty-fourth
56,fifty-sixth
one,alpha
1.0,first
nine ideas,ninth idea
planet eight,planet eighth
six,sixth
six,newest
million,best-in-class
1000,thousandth
one half,one halfth
age eight,eight age
position three,position third
One or two,first or second
Five Easy Pieces,fifth easy piece
forty-two,forty-second
three,third
zero,depth
ones,firsts
1,first
septuplet,septupleth
step five,fifth step
thousand,millennium
two,twice
one fourth,one fourthth
number three,number third
100,one hundredth
67,sixty-seventh
15,15th
one,first-born
visit 63,sixty-third visited
last to arrive,many to arrive
quadruplet,quadrupletth
1010,1010th
128,one hundred twenty eighth
112,one hundred twelfth
711,seven hundred eleventh
four hundred,four hundredth
nine lives,ninth life
exponent,exponentth
test nine,test ninth
one hundred one,one hundred first
nine,apex
365,three hundred sixty-fifth
a fraction,a fractionth
one thousand one,one thousand first
1/4,one-quarter
third base,three prong hook shot
300,three-hundredth
mark six,sixth marked
4.0,forth version
sixty two,sixty-second
try 39,thirty-ninth test
400,four-hundredth
twenty seven miles,twenty seventh mile
500,five hundredth
eighty seven acres,eighty seventh acre
Quadra,fourth
nine,ninth
two,a time earlier
session,sessionth
2000,2000th
negative one,negative first
Three dozen,thirty sixth
one and only,premiere
8.0,eighth
year 81,eighty-first annual
sixfold,sixth
moment 70,seventieth momentary
97,ninety-seventh
6778,"Six Thousand, Seven Hundred and Seventy Eighth"
octillion,octillionth
pair,second
chapter one,chapter first
seventy nine,seventy ninth
period 77,seventy-seventh periodic
episode 23,twenty-third episodic
phase 47,forty-seventh phased
Six by seven inches,Sixth edition year marked 
instance,instanceth
forty-seven,forty-seventh
point eight,point eighth
20,twentieth
2000,two thousandth
199,one hundred ninety-ninth
312,three hundred twelfth
seven million,seven millionth
three-fold,third
96,ninety-sixth
2000,two-thousandth
column seven,column seventh
twenty third,twelfth biennial
3141,three thousand one hundred forty-first
Four-hundred million,Four-hundred millionth
try number 11,eleventh tested
base,baseth
Thirty degrees,thirtieth meridian
one,only
one percent,one percentile
option one,option first
25,twenty-fifth
nine,nonary
1999,one thousand nine hundred ninety-ninth
Fivefold,fifth
101,one-hundred-and-first
digit two,second digit
once,first
ten,subsequent
inning,inningth
paragraph two,paragraph second
city two,city second
3,tertiary
count eighteen,eighteenth countable
82,eighty-second
12,12th
32,32nd
16,16th
433,four hundred thirty-third
One fine time ever,One off spin there out 
twenty-five,quarter-centennial
eight,alpha and omega
65,65th
unit 96,ninety-sixth united
Ten,decimo
a few,fewest
phase fifteen,fifteenth phased
phase,phaseth
one and a half,sesquicentennial
two,leading
edition 48,forty-eighth edited
take 72,seventy-second taken
16,sixteenth
thirty-one,thirty-first
76,seventy-sixth
second iteration,second
ten,closing
1/2,one halfth
66,sixty-sixth
fifty four,fifty fourth
the third,third
1/2,one-half
Zero Tolerance,No second tolerance
64,sixty-fourth
one point five,one point fifth
copy 49,forty-ninth copied
stage four,fourth stage
one,number one
second time,second
row three,row third
one tenth,one tentth
sextillion,sextillionth
stage five,fifth stage
twenty,pre-eminent
draft nine,draft ninth
one hundred,cream of the crop
event,eventth
two point five,two and a halfth
item seven,item seventh
87,eighty-seventh
one hundred,ace
200,two hundredth
googol,googolth
two,bifold
two,secondary
plan two,plan second
543,five hundred forty-third
38459,thirty eight thousand four hundred fifty-ninth
seven,the first stage
attempt twelve,twelfth attemptive
51,fifty-first
600,six hundredth
69,sixty-ninth
twenty-eight,second to none
eighties,eightieth decade
hundred and one,hundred and first
58000,fifty eight thousandth
quintuplet,quintupleth
49,forty-ninth
one hundred,premium
hundred,hundredth
quintillion,quintillionth
eight,octennial
six,senary
item 33,thirty-third itemized
one third,thirty-third
150,one hundred fiftieth
two,the second
five,early
opportunity 52,fifty-second opportunistic
845,eight hundred forty-fifth
52,fifty-second
one half,half
Ten rounds,Tenth round
one quarter,one quarterth
couple,second
87,87th
period 100,one hundredth periodic
forty,most elegant
year,yearth
one,chief
bird five,bird fifth
eight year on top is tall,eight tier to it for years
hundred,percent
infinite,last
thousand islands,thousand area
one,topmost
fourteen,most esteemed
building ten,building tenth
767,Seven hundred and sixty seventh
113,one hundred thirteenth
unit 34,thirty-fourth united
seven,eventually
6000000,six millionth
three thousand,three thousandth
scene 44,forty-fourth scenic
seven,penultimate
eighty,eightieth
play 64,sixty-fourth played
ninety,ninetieth
thousand,thousandth
a little more than two thirds,a little more than two thirdths
nineteen stations,nineteenth station
100,100th
48,forty-eighth
1024,one thousand twenty fourth
one million,millionth
55,in turn
eight thousand,eight thousandth
three,subsequent
two hundred and twenty,two hundred and twentieth
Thirty four feet,Thirty Fourth foot
fifteen,fifteenth
nine trillion,nine trillionth
four door house high,four new star year end made and set to 
two parts,second part
book one,book first
twelve,twelfth
4th time's charm,fourth
two,follow
twice,two-time
building three,building third
volume nine,ninth volume
twenty four,two dozens
trial two,second trial
Third gear,triple time
one thousand nine hundred eighty eight,one thousand nine hundred eighty eighth
eight and one-half inches,eighth and one-halfth inches
Point seven,seventieth
ten,fastest
two squared,second squaredth
time 71,seventy-first timed
three,Triple
four suits well,fourth degree award granted
one quarter,quarter
hundred one,hundred first
chance 68,sixty-eighth chanced
Three parts,Third part
71,seventy-first
31,thirty-first
six hundred,six hundredth
31,31st
900,900th
9000,nine thousandth
one million,one-millionth
quadruple,fourth
62,Sixty Second
91,ninety-first
one,before
dozen,dozenth
object,objectth
point four,fourth point
five,fifth
6000,6000th
one third,one thirdth
house ten,house tenth
decuplet,decupleth
thousand,unexcelled
game 60,sixtieth gamed
four,latter
set 4,set fourth
some books,ninth book
five,final
repetition seventeen,seventeenth repetitious
7,seventh
hundred,gold standard
the first,first
33,33rd
time 83,eighty-third timed
seven attempts,seventh attempt
ten,decade
seven,ultimate
negative two,negative second
tool,toolth
72,seventy-second
one thousand,one thousandth
five,past
component six,component sixth
2 to the power of 4,second to the power of fourth
2/3,two-thirds
three hundred,three-hundredth
3,3rd
one-quarter,one-quartered
version 21,twenty-first revised
42 degrees,forty-second degree
86,eighty-sixth
ten,tenth
32,thirty-second
one,primary
17th century,seventeenth century
point 24,twenty-fourth punctual
39,thirty-ninth
one hundred sixteen thousand,one hundred sixteenth thousandth
thirty-two,highest point
three trials,third trial
Twelve million,Twelve Millionth
one,the first
dozen,twelfth
44,forty-fourth
half,bi-annually
nonuplet,nonupleth
two,second
fifty,most revered
11,11th
five times,fifth time
goal five,goal fifth
game 84,eighty-fourth gamed
323,three hundred twenty-third
season 80,eightieth seasonal
78,Seventy Eighth
stage nine,stage ninth
20,very first
forty,fortieth
Five and a half,fifth position
97,97th
thirty-two,thirty-second
more things,most things
IV,fourth roman numeral
6000,six thousandth
two of a kind,second best
fifteen,greatest
three hundred sixty-five,three hundred sixty-fifth
13,thirteenth
74,74th
second,inferior
two hundred forty nine,two hundred forty ninth
two,Dichotomy
80,eightieth
two levels,second level
eight,superior
three point five,third point five
Three or four choice now that time goes up the wall,Third season or more coming fast at door here 
hour 45,forty-fifth hourly
two,alternate
8000,eight thousandth
last one,last
six squared,thirty-sixth
61,sixty-first
twenty-four,twenty-fourth
two sets off long days time around near so tall ever fast that ride out side the place made through days past,second set on long way the ever last year wide that now done up long ride time made around there is over
three new places coming near shown soon now right there fast here fast set soon around is high wide great all up ever.,third town coming at pace near known bright light the is soon town up show up soon to see how there all can do and more 
event 86,eighty-sixth eventful
ten million,ten millionth
quarter,fourth
102,one hundred second
latest hit,many hits
three,penultimate
second,secondary
four,quaternary
175,one hundred seventy-fifth
once upon a time,first
the second,second
43,43rd
41,forty-first
level five,fifth leveled
sound 66,sixty-sixth sounded
501,five hundred first
eleven,upper
22,22nd
race 59,fifty-ninth raced
77,seventy-seventh
twice,second
view,viewth
200,200th
831,eight hundred thirty-first
one,premier
half,second
101,one hundred first
hundred,tons
Ten,decima
thousand and one,thousand and first
twenty,score
1000,one thousandth
first,zeroth
one,beginning
last place,many places
fraction,fractionth
two thirds,third
12,twelfth
one million one,one million first
17,seventeenth
thousand,grand
nine,weakest
subject two,subject second
1500,1500th
102nd street,One Hundred and Second street
One point one,first
Forty-Ninth parallel,Forty-Ninth parallel
ninety and a four high number high up,Ninth year long anniversary year for joy made 
fraction one,first fractional
Twelve people,twelfth candidate
twenty and three-quarter,fortieth
70,seventieth
thirteen,thirteenth
instance 69,sixty-ninth instantiated
two million,two-millionth
seven,seventh
10,tenth
59,fifty-ninth
Four calling birds,fourth calling bird
thirty,thirtieth
60,60th
