bled,had bled
outgrown,had outgrown
covered,had covered
perfected,had perfected
guided,had guided
described,had described
blamed,had blamed
sounded,had sounded
coughed,had coughed
suggested,had suggested
forbid,had forbidden
stood,had stood
branched,had branched
improved,had improved
smelled,had smelt
withheld,had withheld
earned,had earned
interacted,had interacted
broken,had broken
contrived,had contrived
transformed,had transformed
acted,had acted
exulted,had exulted
freed,had freed
convened,had convened
handled,had handled
updated,had updated
stolen,had stolen
overdid,had overdone
detoured,had detoured
inflamed,had enflamed
sleeted,had sleeted
quit,had quit
explained,had explained
joked,had joked
loathed,had loathed
entertained,had entertained
cashed,had cashed
risked,had risked
cursed,had cursed
het,had heaten
untied,had untied
eroded,had eroded
cut,had cut
sighed,had sighed
celebrated,had celebrated
awoke,had awoken
typed,had typed
halved,had halved
reassured,had reassured
beheld,had beheld
picked,had picked
served,had served
questioned,had questioned
discarded,had discarded
emphasized,had emphasized
besought,had besought
xeroxed,had xeroxed
analysed,had analysed
replied,had replied
shocked,had shocked
reported,had reported
betook,had betaken
synthesized,had synthesized
concentrated,had concentrated
interrupted,had interrupted
modified,had modified
zoned,had zoned
circulated,had circulated
undersold,had undersold
copied,had copied
retreated,had retreated
correlated,had correlated
flirted,had flirted
planted,had planted
offset,had offset
overslept,had overslept
missed,had missed
rejoiced,had rejoiced
revolted,had revolted
swam,had swum
beaten,had beaten
forgotten,had forgotten
sensed,had sensed
compromised,had compromised
danced,had danced
persevered,had persevered
anticipated,had anticipated
arose,had arisen
robbed,had robbed
emailed,had emailed
obliterated,had obliterated
yawned,had yawned
saw,had seen
slain,had slain
researched,had researched
sank,had sunk
observed,had observed
produced,had produced
lied,had lied
spilt,had spilt
delegated,had delegated
released,had released
cheered,had cheered
found,had found
learnt,had learnt
frolicked,had frolicked
required,had required
waited,had waited
strid,had stridden
entered,had entered
postponed,had postponed
indicated,had indicated
bound,had bound
upheld,had upheld
pasteurized,had pasteurized
got,had gotten
processed,had processed
curled,had curled
insulted,had insulted
swore,had sworn
tried,had tried
clad,had clad
manufactured,had manufactured
allocated,had allocated
coached,had coached
shared,had shared
laughed,had laughed
shrunk,had shrunk
chased,had chased
proofread,had proofread
etched,had etched
orchestrated,had orchestrated
narrated,had narrated
oversaw,had overseen
unbuilt,had unbuilt
thundered,had thundered
read,had read
sunk,had sunk
banned,had banned
ventured,had ventured
practiced,had practiced
dreamt,had dreamt
satisfied,had satisfied
sympathized,had sympathized
traded,had traded
stabbed,had stabbed
nominated,had nominated
briefed,had briefed
shook,had shaken
forgot,had forgotten
begged,had begged
posed,had posed
let,had let
presumed,had presumed
sorted,had sorted
garnered,had garnered
speeded,had sped
tantalized,had tantalized
spoken,had spoken
unbent,had unbent
promoted,had promoted
imitated,had imitated
convicted,had convicted
