flummox,flummoxes
milk,milk
rule,rules
eyelash,eyelashes
leg,legs
jurist,jurists
visa,visas
myself,ourselves
machinist,machinists
money,money
volcano,volcanos
tempo,tempi
lunch,lunches
auditorium,auditoriums
ghetto,ghettoes
cargo,cargos
grandfather,grandfathers
fee,fees
cover,covers
lens,lenses
change,changes
prestige,prestiges
difficulty,difficulties
porch,porches
penalty,penalties
muff,muffs
tie,ties
appendage,appendages
hangman,hangmen
temple,temples
bluff,bluffs
duck,ducks
victory,victories
innings,innings
sirex,sirexes
relative,relatives
ocean,oceans
oboe,oboes
ancestor,ancestors
resource,resources
emu,emus
pants,pants
continent,continents
penny,pence
bondage,bondages
handkerchief,handkerchiefs
feeling,feelings
verse,verses
funeral,funerals
invention,inventions
gas,gases
beaver,beavers
grassland,grasslands
match,matches
tattoo,tattoos
music,music
vajra,vajras
design,designs
talent,talents
class,classes
accommodation,accommodation
comet,comets
incident,incidents
handful,handfuls
proceeds,proceeds
scissors,scissors
disco,discos
permission,permission
style,styles
risk,risks
procedure,procedures
packet,packets
waiter,waiters
amoeba,amoebae
service,services
garde,gardes
adventure,adventures
arachnid,arachnids
color,colors
particulars,particulars
scarf,scarfs
enemy,enemies
consequence,consequences
mademoiselle,mesdemoiselles
universe,universes
sector,sectors
fireman,firemen
quarters,quarters
lock,locks
email,emails
handle,handles
raftsman,raftsmen
nucleus,nuclei
sibling,siblings
road,roads
result,results
act,acts
fed,feds
schema,schemata
axiom,axioms
newbie,newbies
report,reports
bill,bills
thing,things
orange,oranges
limit,limits
sky,skies
inferno,infernos
bookshelf,bookshelves
web,webs
pepper,peppers
aunt,aunts
holiday,holidays
phone,phones
hovercraft,hovercraft
mosquito,mosquitos
fiber,fibers
cattle,cattle
led,leds
item,items
smell,smells
gold,gold
hippo,hippos
stage,stages
agenda,agendas
component,components
method,methods
dome,domes
madam,mesdames
calf,calves
mouse,mice
plankton,plankton
mark,marks
crux,cruxes
neck,necks
mumps,mumps
lumber,lumbers
video,videos
bridge,bridges
mango,mangos
table,tables
odor,odors
sphinx,sphinxes
caveman,cavemen
mollusk,mollusks
demise,demises
window,windows
compass,compasses
maim,maims
technology,technologies
glassful,glassesful
chair,chairs
valley,valleys
rain,rain
swamp,swamps
note,notes
corporation,corporations
ceiling,ceilings
constellation,constellations
yonks,yonks
cabinet,cabinets
radio,radios
veto,vetoes
bat,bats
cable,cables
floor,floors
staff,staves
term,terms
garage,garages
thunder,thunder
phrase,phrases
attorney,attorneys
comma,commas
dentist,dentists
monkey,monkeys
glue,glues
joy,joy
aspect,aspects
platypus,platypuses
crocodile,crocodiles
soldier,soldiers
size,sizes
field,fields
apply,applies
triangle,triangles
nephew,nephews
bracket,brackets
auto,autos
flower,flowers
gonoph,gonophs
fax,faxes
vita,vitae
mine,mines
accomplice,accomplices
clue,clues
investor,investors
oasis,oases
form,forms
child,children
ship,ships
website,websites
timber,timbers
premise,premises
sister,sisters
glass,glasses
hook,hooks
shop,shops
image,images
process,processes
neighbor,neighbors
proof,proofs
food,foods
agreement,agreements
euro,euros
latte,lattes
flash,flashes
model,models
whisper,whispers
key,keys
remains,remains
theory,theories
December,Decembers
stimulus,stimuli
bench,benches
loss,losses
reason,reasons
second,seconds
focus,foci
planet,planets
tumor,tumors
apartment,apartments
hypothesis,hypotheses
step,steps
statesman,statesmen
basis,bases
dog,dogs
scarf,scarves
sportsman,sportsmen
alumna,alumnae
delay,delays
math,math
ability,abilities
bay,bays
travel,travels
glassful,glassfuls
mistake,mistakes
ruler,rulers
beacon,beacons
wish,wishes
sweater,sweaters
trouser,trousers
portfolio,portfolios
men,mens
whack,whacks
line,lines
satellite,satellites
carpet,carpets
cake,cakes
datum,data
cherry,cherries
cousin,cousins
formula,formulae
cruise,cruises
crisis,crises
regulation,regulations
mirage,mirages
wife,wives
campus,campuses
furniture,furniture
hoof,hooves
reptile,reptiles
permit,permits
team,teams
surface,surfaces
story,stories
marker,markers
crustacean,crustaceans
matrix,matrices
synthesis,syntheses
bar,bars
Dutchman,Dutchmen
waltz,waltzes
injury,injuries
bottle,bottles
river,rivers
medal,medals
cross,crosses
mail,mail
moon,moons
site,sites
faux pas,faux pas
linguistics,linguistics
character,characters
breadth,breadths
petal,petals
help,help
device,devices
handful,handsful
blanket,blankets
boat,boats
salmon,salmon
riff,riffs
crayon,crayons
tundra,tundras
torso,torsos
folder,folders
Englishman,Englishmen
era,eras
attempt,attempts
mode,modes
band,bands
macabre,macabres
kimono,kimonos
memory,memories
tableau,tableaux
nougat,nougats
pie,pies
spoon,spoons
chorus,choruses
street,streets
mission,missions
highway,highways
chairman,chairpersons
lady,ladies
progress,progress
silo,silos
plaster,plasters
novelist,novelists
mobile,mobiles
test,tests
grounds,grounds
billards,billiards
air,airs
fact,facts
index,indices
cage,cages
paper,paper
sandwich,sandwiches
ethics,ethics
watch,watches
homework,homework
