expire,expiration
teach,teacher
rest,rest
constitute,constitution
fund,fund
clean,cleaner
assure,assurance
shake,shake
oppose,opposition
create,creation
lament,lament
depict,depiction
detach,detachment
execute,execution
summon,summons
scatter,scattering
locate,location
destroy,destruction
manipulate,manipulation
allocate,allocation
fool,fool
sidestep,sidestep
subsidize,subsidy
destitute,destitution
offend,offense
prove,proof
rescue,rescue
pretend,pretense
exclude,exclusion
form,formation
float,float
show,show
save,saver
prosecute,prosecution
deflate,deflation
refer,reference
manage,management
ascend,ascension
break,break
sort,sort
impress,impression
actuate,actuation
permit,permit
hinder,hindrance
rupture,rupture
address,address
take,taking
enter,entrance
mock,mockery
defy,defiance
waste,waste
migrate,migration
stress,stress
hate,hate
discuss,discussion
modify,modification
convict,conviction
enforce,enforcement
pass,pass
stake,stake
protest,protester
consume,consumption
incorporate,incorporation
steal,theft
exaggerate,exaggeration
purify,purification
implement,implementation
share,share
acquire,acquisition
offer,offer
replace,replacement
add,addition
counsel,counselor
innovate,innovation
hunt,hunt
extrude,extrusion
listen,listening
reason,reason
refine,refinement
dedicate,dedication
meditate,meditation
augment,augmentation
survive,survival
regenerate,regeneration
endure,endurance
cook,cooker
improve,improvement
imply,implication
attribute,attribution
recommend,recommendation
write,writing
organise,organisation
remove,removal
inform,information
infer,inference
tan,tan
dirty,dirt
thrive,thriving
resume,resume
extend,extent
resemble,resemblance
land,land
ensure,insurance
revise,revision
regulate,regulation
secure,security
jeopardize,jeopardy
propose,proposal
please,pleasure
elide,elision
lead,lead
assert,assertion
travel,traveler
xenotransplant,xenotransplantation
learn,lesson
swear,oath
decay,decay
convey,conveyance
condemn,condemnation
proliferate,proliferation
damage,damage
proceed,procedure
forge,forge
record,record
split,split
vent,ventilation
portray,portrayal
reduce,reduction
boil,boil
declare,declaration
blend,blender
document,document
report,reporter
except,exception
designate,designation
understand,understanding
join,joint
wither,wither
sail,sailing
grip,grip
criticize,criticism
take,take
stamp,stamp
flutter,flutter
rule,ruler
progress,progression
cook,cooking
confirm,confirmation
deal,deal
hypothesize,hypothesis
stare,stare
act,act
farm,farm
seek,seeking
radiate,radiation
govern,governance
switch,switch
supply,supply
extinguish,extinguisher
fry,fry
predict,prediction
envy,envy
bypass,bypass
evade,evasion
rejuvenate,rejuvenation
exhibit,exhibition
hold,hold
notify,notification
experiment,experiment
grab,grab
ponder,ponderance
prevent,prevention
mutate,mutation
buy,purchase
plead,pleading
weigh,weight
exist,existence
deceive,deception
uncover,uncovering
rush,rush
relax,relaxation
halt,halt
marry,marriage
empty,emptiness
grill,grill
diagnose,diagnosis
dive,dive
decide,decision
reply,reply
prepare,preparation
compel,compulsion
alight,flight
plan,plan
smell,smell
audit,audit
tackle,tackle
kneel,kneel
win,win
replicate,replication
dance,dancer
wander,wandering
cover,cover
betray,betrayal
schedule,schedule
look,look
stem,stem
evacuate,evacuation
combine,combination
pursue,pursuit
search,search
owe,debt
swim,swim
charge,charge
cook,meal
accumulate,accumulation
substitute,substitute
juggle,juggling
climb,climb
stuff,stuff
yell,yell
sit,seat
train,training
modernize,modernization
convert,conversion
stand,stand
square,square
liberate,liberation
think,thought
knit,knit
lodge,lodge
mutilate,mutilation
vibrate,vibration
slip,slip
chat,chat
intercept,interception
fracture,fracture
harm,harm
fan,fan
survey,survey
admit,admission
store,storage
defend,defense
assemble,assembly
disagree,disagreement
watch,watching
question,question
mine,mine
enable,ability
present,present
divide,division
weave,weave
speak,speech
postulate,postulation
manufacture,manufacturer
buy,buyer
punish,punishment
transmit,transmission
mediate,mediation
meet,meeting
suspect,suspect
wave,wave
shun,shunning
rate,rate
televise,television
rejoice,joy
decline,decline
retire,retirement
describe,description
rebel,rebellion
invent,invention
legislate,legislation
forecast,forecast
function,function
retreat,retreat
research,research
irate,ire
drive,drive
finish,finish
baptize,baptism
analyze,analysis
populate,population
worry,worry
renumerate,renumeration
monitor,monitoring
refuge,refuge
respect,respect
work,worker
shop,shopper
agree,agreement
exercise,exercise
investigate,investigation
build,building
illuminate,illumination
carry,carrying
soothe,soother
approve,approval
scan,scan
access,access
enjoy,enjoyment
grant,grant
constrain,constraint
sponsor,sponsor
ignore,ignorance
found,foundation
pollute,pollution
help,help
note,note
abstract,abstraction
conserve,conservation
shrink,shrinkage
advise,advisor
swing,swing
own,owner
cut,cut
pay,payment
mentor,mentor
inflect,inflection
contemplate,contemplation
fly,flyer
reform,reform
forbid,forbiddance
irradiate,irradiation
thank,thanks
shape,shape
hate,hatred
share,sharing
work,work
effect,effect
verify,verification
contract,contraction
decorate,decoration
run,run
scrutinize,scrutiny
suppose,supposition
gleam,gleam
bargain,bargain
affect,effect
exact,exaction
bite,bite
progress,progress
console,consolation
shock,shock
promote,promotion
systemize,system
oscillate,oscillation
attend,attendance
design,design
mix,mix
mend,mend
provide,provision
include,inclusion
orchestrate,orchestration
strike,strike
swim,swimmer
pray,prayer
clean,cleaning
gather,gathering
call,call
nominate,nomination
commit,commitment
zincate,zincation
exhibit,exhibit
protest,protest
rely,reliance
analyse,analysis
dominate,domination
transact,transaction
hurry,hurry
combat,combat
evaluate,evaluation
merge,merger
assume,assumption
wager,wager
lecture,lecture
attenuate,attenuation
cook,cook
forbid,forbidden
jumble,jumble
contaminate,contamination
design,designer
count,count
approach,approach
value,value
alienate,alienation
fantasize,fantasy
stir,stir
decelerate,deceleration
ensure,assurance
recite,recitation
xerox,xerography
care,care
narrate,narrator
resent,resentment
contest,contest
draw,drawing
scream,scream
digest,digestion
invest,investment
bet,bet
smoke,smoke
eject,ejection
freeze,freeze
sing,song
threaten,threat
correct,correction
save,saving
sound,sound
nurse,nursing
manage,manager
cover,covering
suspect,suspicion
compute,computation
recognize,recognition
encourage,encouragement
practise,practice
gesture,gesture
suit,suit
hydrate,hydration
quench,quench
deduce,deduction
theorize,theory
divert,diversion
graduate,graduate
dream,dream
consult,consultation
start,start
manufacture,manufacture
aspire,aspiration
exhaust,exhaustion
ruin,ruin
play,play
dry,drying
elevate,elevation
enter,entry
steam,steam
harbor,harbor
bother,bother
defer,deferral
gain,gain
learn,learning
modulate,modulation
rise,rise
tip,tip
operate,operation
matter,matter
intend,intention
participate,participant
cancel,cancellation
entreat,entreaty
relocate,relocation
violate,violation
expose,exposure
emphasise,emphasis
tease,teasing
zoom,zoom
confer,conference
labor,labor
absolve,absolution
present,presentation
dream,dreamer
evaporate,evaporation
skip,skip
erect,erection
discriminate,discrimination
surrender,surrender
wound,wound
request,request
contribute,contribution
debark,debarkation
possess,possession
thrill,thrill
criticise,criticism
heal,healing
magnify,magnification
regard,regard
position,position
offer,offering
prohibit,prohibition
negotiate,negotiation
stabilize,stabilization
interrupt,interruption
allow,allowance
derive,derivation
blame,blame
subvert,subversion
complain,complaint
irrigate,irrigation
remind,reminder
seclude,seclusion
remember,memory
man,man
market,marketing
demise,demise
sweep,sweep
enumerate,enumeration
contend,contention
state,statement
dare,dare
indicate,indication
stream,stream
drink,drink
imitate,imitation
heal,healer
tailor,tailor
waive,waiver
complete,completion
sleep,sleep
comply,compliance
quantitate,quantitation
automate,automation
satisfy,satisfaction
cleanse,cleanser
notice,notice
infect,infection
move,movement
envision,envisioning
demand,demand
avoid,avoidance
finance,finance
associate,association
oxidate,oxidation
frame,frame
collide,collision
develop,development
quote,quotation
estimate,estimation
perform,performance
comfort,comfort
answer,answer
exasperate,exasperation
segment,segment
hire,hire
graduate,graduation
kill,kill
vary,variation
guarantee,guarantee
refresh,refreshment
publish,publication
settle,settlement
form,form
intend,intent
save,salvation
control,control
organize,organization
confine,confinement
drill,drill
clarify,clarification
need,need
shift,shift
underwrite,underwriting
visualize,visualization
shout,shout
detect,detection
hide,hideout
shield,shield
fill,filling
praise,praise
rank,rank
convince,conviction
calculate,calculation
descend,descent
alleviate,alleviation
wait,wait
specify,specification
stick,stick
rescue,rescuer
open,opening
loosen,looseness
remember,remembrance
harvest,harvest
nest,nest
muster,muster
receive,reception
consult,consultant
repress,repression
ponder,pondering
attack,attack
submit,submission
quarantine,quarantine
deter,deterrent
listen,listener
profess,profession
stay,stay
photograph,photograph
bake,baking
direct,director
govern,government
import,import
find,finding
advocate,advocacy
gamble,gamble
undress,undress
assign,assignment
repair,repair
spring,spring
announce,announcement
conduct,conduct
paint,painting
read,reader
stop,stop
employ,employment
send,sending
preside,presidency
trick,trick
wonder,wonder
suggest,suggestion
wake,awakening
rotate,rotation
fabricate,fabrication
obtain,obtainment
carve,carving
emulate,emulation
limit,limit
oppress,oppression
revive,revival
precede,precedent
ramble,ramble
like,liking
love,love
seat,seat
illustrate,illustration
summarize,summary
flourish,flourishing
signify,significance
classify,classification
burn,burn
worship,worship
edit,edit
borrow,borrowing
sustain,sustenance
judge,judge
deny,denial
isolate,isolation
teach,teaching
roam,roaming
succeed,success
generate,generation
guide,guidance
intervene,intervention
represent,representation
lead,leader
coach,coaching
loan,loan
jubilate,jubilation
measure,measurement
interrogate,interrogation
advise,advice
review,review
own,ownership
deduct,deduction
retain,retention
alert,alert
amplify,amplification
picture,picture
instruct,instruction
rent,rent
prefer,preference
qualify,qualification
plant,plant
arrive,arrival
frustrate,frustration
fire,firing
cooperate,cooperation
motivate,motivation
supervise,supervision
tear,tear
hesitate,hesitation
delete,deletion
bend,bend
simplify,simplification
pull,pull
follow,following
entertain,entertainment
animate,animation
abide,abiding
save,savings
warrant,warrant
alight,alight
repel,repulsion
collaborate,collaboration
study,student
transform,transformation
amuse,amusement
run,running
inject,injection
xerox,xeroxing
defend,defence
delay,delay
journey,journey
granulate,granulation
abdicate,abdication
result,result
receive,receipt
safeguard,safeguard
stab,stab
fold,fold
activate,activation
trade,trade
reflect,reflection
figure,figure
congratulate,congratulation
record,recording
sustain,sustainment
enact,enactment
see,sight
touch,touch
assist,assistant
undulate,undulation
talk,talk
lift,lift
explain,explanation
commit,commission
travel,travel
tax,taxation
achieve,achievement
greet,greeting
blueprint,blueprint
pretend,pretence
ask,request
behave,behavior
accept,acceptance
multiply,multiplication
project,project
correspond,correspondence
earn,earning
inflate,inflation
sketch,sketch
style,style
desire,desire
segment,segmentation
shop,shop
transfer,transfer
mingle,mingling
compress,compression
neglect,neglect
incinerate,incineration
rehabilitate,rehabilitation
begin,beginning
twist,twist
bloom,bloom
consolidate,consolidation
subtract,subtraction
smile,smile
defend,defender
capture,capture
allege,allegation
strive,effort
cook,chef
duplicate,duplication
challenge,challenge
relate,relation
mentor,mentorship
compete,competitiveness
obfuscate,obfuscation
coordinate,coordination
validate,validation
partake,participation
tend,tendency
frighten,fright
forgive,forgiveness
scheme,scheme
end,end
act,actor
conceive,conception
resolve,resolution
descend,descension
repeat,repetition
model,model
couple,couple
narrate,narrative
suffocate,suffocation
laminate,lamination
compose,composition
captivate,captivation
pedal,pedal
harass,harassment
tax,tax
recover,recovery
select,selection
overlook,overlook
ease,ease
burst,burst
yield,yielding
mean,meaning
change,change
obey,obedience
authorize,authorization
translate,translation
abstract,abstract
affect,affection
spread,spread
construct,construction
wish,wish
conclude,conclusion
sell,sale
obliterate,obliteration
fix,fix
snow,snow
bear,bearer
solve,solution
honor,honor
introduce,introduction
beam,beam
symbolize,symbol
estimate,estimate
certify,certification
conspire,conspiracy
tighten,tightness
delight,delight
wash,wash
guard,guard
gestate,gestation
caution,caution
donate,donation
drive,driver
reiterate,reiteration
release,release
veil,veil
heat,heat
sew,sewing
depend,dependence
elect,election
team,team
vote,vote
implicate,implication
crawl,crawl
fish,fish
regress,regression
profit,profit
deliver,delivery
mirror,mirror
broadcast,broadcast
mitigate,mitigation
assist,assistance
ripple,ripple
maintain,maintenance
erupt,eruption
accelerate,acceleration
terrify,terror
germinate,germination
implore,imploring
hang,hanging
win,victory
assess,assessment
date,date
appoint,appointment
extend,extension
permit,permission
react,reaction
suppress,suppression
dress,dress
depart,departure
trust,trust
tempt,temptation
grant,granting
abound,abundance
fight,fighter
dispose,disposal
fish,fishery
bore,bore
cry,cry
offset,offset
urge,urge
eliminate,elimination
prospect,prospect
influence,influence
content,content
complement,complement
step,step
cry,crying
relieve,relief
accuse,accusation
visit,visit
saturate,saturation
pause,pause
fit,fit
view,view
initiate,initiation
recede,recession
sustain,sustainability
inhibit,inhibition
read,reading
strive,strife
stimulate,stimulation
whisper,whisper
straighten,straightening
try,trial
mold,mold
spin,spin
participate,participation
forget,forgetfulness
appreciate,appreciation
delegate,delegation
ban,ban
deconstruct,deconstruction
target,target
fear,fear
notch,notch
claim,claim
copy,copy
restrict,restriction
garden,garden
comment,comment
reverse,reversal
domesticate,domestication
simulate,simulation
lament,lamentation
reassure,reassurance
expect,expectation
lacerate,laceration
quantify,quantification
fail,failure
confess,confession
squeeze,squeeze
lose,loss
tell,tale
compare,comparison
define,definition
annoy,annoyance
emancipate,emancipation
disperse,dispersion
unload,unload
ask,question
venture,venture
spend,spending
polish,polish
tolerate,tolerance
starve,starvation
watch,watch
inflict,infliction
observe,observation
require,requirement
attract,attraction
concentrate,concentration
wear,wear
explore,exploration
guess,guess
choose,choice
hunt,hunter
joke,joke
divorce,divorce
debate,debate
sip,sip
defer,deference
export,export
excel,excellence
absorb,absorption
stock,stock
disconnect,disconnection
swim,swimming
screen,screen
fall,fall
renovate,renovation
practice,practice
support,support
serve,service
arrange,arrangement
purchase,purchase
reveal,revelation
swap,swap
research,researcher
litigate,litigation
order,order
admire,admiration
adjust,adjustment
evolve,evolution
refuse,refusal
report,report
reach,reach
communicate,communication
shelter,shelter
melt,melting
laugh,laughter
injure,injury
resign,resignation
program,program
collapse,collapse
conceal,concealment
realize,realization
study,study
lead,leadership
blend,blend
weave,web
create,creativity
allude,allusion
pour,pour
row,rowing
intrude,intrusion
narrate,narration
curve,curve
socialize,socialization
liquidate,liquidation
direct,direction
streamline,streamlining
anger,anger
fly,flight
transport,transportation
restore,restoration
distribute,distribution
lend,loan
discard,discard
stipulate,stipulation
feed,food
inquire,inquiry
arm,arm
tag,tag
differ,difference
commence,commencement
originate,origination
compete,competition
mix,mixture
irritate,irritation
exceed,excess
sense,sense
tell,telling
formulate,formulation
infuse,infusion
die,death
macerate,maceration
synchronize,synchronization
decrease,decrease
speak,speaking
speed,speed
duplicate,duplicate
command,command
articulate,articulation
command,commandment
tease,tease
slide,slide
synthesize,synthesis
live,life
terminate,termination
arise,arising
seize,seizure
market,market
fascinate,fascination
