skip,skipping
sicken,sickening
melt,melting
unify,unifying
pirouette,pirouetting
resolve,resolving
assemble,assembling
redo,redoing
contaminate,contaminating
devour,devouring
wait,waiting
wash,washing
browse,browsing
slice,slicing
connect,connecting
go,going
wear,wearing
wrap,wrapping
keep,keeping
compile,compiling
supply,supplying
clean,cleaning
quicken,quickening
invalidate,invalidating
make,making
weave,weaving
gather,gathering
mask,masking
drink,drinking
look,looking
decline,declining
cost,costing
defend,defending
segment,segmenting
promote,promoting
add,adding
authenticate,authenticating
search,searching
scatter,scattering
fear,fearing
stress,stressing
eradicate,eradicating
accomplish,accomplishing
plant,planting
reform,reforming
exercise,exercising
design,designing
decide,deciding
stroke,stroking
link,linking
portray,portraying
lead,leading
push,pushing
debate,debating
steer,steering
appreciate,appreciating
nourish,nourishing
follow,following
provoke,provoking
annoy,annoying
sculpt,sculpting
fragment,fragmenting
recapitulate,recapitulating
hypothesize,hypothesizing
blend,blending
squawk,squawking
row,rowing
enjoy,enjoying
strive,striving
conspire,conspiring
vanish,vanishing
substantiate,substantiating
trot,trotting
compete,competing
fight,fighting
meow,meowing
automate,automating
regulate,regulating
water,watering
satisfy,satisfying
refurbish,refurbishing
articulate,articulating
energize,energizing
test,testing
adjust,adjusting
slither,slithering
drip,dripping
fasten,fastening
fish,fishing
disable,disabling
quit,quitting
crave,craving
pinch,pinching
streamline,streamlining
worsen,worsening
assimilate,assimilating
overhaul,overhauling
lend,lending
relate,relating
liberate,liberating
interact,interacting
focus,focusing
split,splitting
sharpen,sharpening
authorize,authorizing
crawl,crawling
demonstrate,demonstrating
ignite,igniting
lounge,lounging
skim,skimming
walk,walking
roast,roasting
run,running
negotiate,negotiating
shear,shearing
vacuum,vacuuming
skateboard,skateboarding
call,calling
lick,licking
erase,erasing
howl,howling
modernize,modernizing
sneeze,sneezing
hate,hating
enrich,enriching
dullen,dullening
loosen,loosening
bury,burying
owe,owing
rearrange,rearranging
abhor,abhorring
ignore,ignoring
